model_size,quant,tg_tokens,tg_tok_sec,avg_power_w,min_power_w,max_power_w,power_samples,tokens_per_watt,joules_per_token,sec_per_1k_tokens,wh_per_1k_tokens,kwh_per_1m_tokens,rm_per_1k_tokens,rm_per_1m_tokens,electricity_cost_myr_per_kwh,model_file,bench_seconds
3B,Q4_K_M,512,43.240747,63.454248,55.500000,65.090000,113,0.681448,1.467464,23.126335,0.407629,0.407629,0.000224,0.224196,0.55,qwen2.5-3b-instruct-q4_k_m.gguf,62
3B,Q5_K_M,512,37.508002,63.104375,57.090000,64.460000,128,0.594380,1.682424,26.660978,0.467340,0.467340,0.000257,0.257037,0.55,qwen2.5-3b-instruct-q5_k_m.gguf,70
3B,Q8_0,512,30.659806,59.039363,56.740000,61.840000,157,0.519311,1.925627,32.615992,0.534896,0.534896,0.000294,0.294193,0.55,qwen2.5-3b-instruct-q8_0.gguf,87
7B,Q4_K_M,512,21.199928,61.820617,57.180000,63.560000,227,0.342927,2.916077,47.169972,0.810021,0.810021,0.000446,0.445512,0.55,qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf,125
7B,Q5_K_M,512,18.788486,60.276860,57.970000,63.660000,258,0.311703,3.208181,53.224086,0.891161,0.891161,0.000490,0.490139,0.55,qwen2.5-7b-instruct-q5_k_m-00001-of-00002.gguf,140
7B,Q8_0,512,14.642638,55.531860,54.240000,60.270000,328,0.263680,3.792476,68.293705,1.053466,1.053466,0.000579,0.579406,0.55,qwen2.5-7b-instruct-q8_0-00001-of-00003.gguf,182
14B,Q4_K_M,512,11.551272,60.690674,57.380000,62.520000,430,0.190330,5.254025,86.570553,1.459451,1.459451,0.000803,0.802698,0.55,qwen2.5-14b-instruct-q4_k_m-00001-of-00003.gguf,235
14B,Q5_K_M,512,9.793259,61.433063,57.500000,63.090000,506,0.159413,6.272995,102.111054,1.742499,1.742499,0.000958,0.958374,0.55,qwen2.5-14b-instruct-q5_k_m-00001-of-00003.gguf,277
14B,Q8_0,512,7.545694,56.575271,54.970000,59.760000,645,0.133374,7.497690,132.525915,2.082692,2.082692,0.001145,1.145481,0.55,qwen2.5-14b-instruct-q8_0-00001-of-00004.gguf,356
32B,Q4_K_M,512,5.403074,58.800820,56.830000,60.310000,902,0.091888,10.882846,185.079827,3.023013,3.023013,0.001663,1.662657,0.55,qwen2.5-32b-instruct-q4_k_m-00001-of-00005.gguf,498
32B,Q5_K_M,512,4.421493,58.611506,56.930000,60.540000,1089,0.075437,13.256044,226.167948,3.682234,3.682234,0.002025,2.025229,0.55,qwen2.5-32b-instruct-q5_k_m-00001-of-00006.gguf,605
32B,Q8_0,512,3.349323,56.603677,53.730000,60.700000,1670,0.059171,16.900035,298.567800,4.694454,4.694454,0.002582,2.581950,0.55,qwen2.5-32b-instruct-q8_0-00001-of-00009.gguf,961
